sleep_hours,study_hours,screen_time_hours,physical_activity_minutes,diet_quality,caffeine_intake,social_interaction,mood_rating,loneliness_score,stress_label
2.5017430236583214,3.028837971968872,2.1426418664811164,46.38303570398641,6,10,3,1,0,0
6.546799374769247,8.902834237943337,8.045392390325926,40.111415189745216,7,3,9,5,2,0
5.529855763364732,4.77908893856299,1.1206536418920283,0.0,6,0,0,6,7,0
4.467453004132725,5.626308832725018,7.670086721544594,50.996215425026556,8,4,9,8,1,0
2.1046400378606833,2.952021579270969,2.8163070979005775,50.76605626852873,9,7,2,9,7,0
7.877704525690744,3.0207704567952405,2.04266849392057,38.56903550776742,7,6,10,5,0,0
5.132523178310096,5.797874040501729,8.559420790840786,10.745913734156613,1,0,0,1,2,0
6.980593150869052,4.510045791330214,2.902301900324357,14.288328703228892,10,5,5,4,2,0
7.763205533393185,6.154091100030219,4.511400068810099,19.19056867054723,6,1,2,7,10,0
7.025818368474258,10.963046966085205,6.722732732059043,128.63436305252304,9,0,5,3,5,0
6.143432449084608,6.579189517951724,2.2516433181871127,88.14594291284648,10,6,3,10,6,0
7.6857882740448185,5.314530389639247,3.3689139915687414,21.709055360298958,6,4,5,7,5,0
7.435923375805462,2.2208785199027763,3.9998890673320657,46.57960836154627,8,10,6,7,2,0
7.57822055342094,1.899189474357183,3.9875385958303173,41.79397573270574,1,10,7,5,1,0
3.527154283862456,0.0,6.715332063221554,0.0,6,1,3,7,8,0
5.793606741213168,4.257759509650434,8.524139566186319,0.0,5,7,2,1,8,1
5.280829474123099,4.3885189446336605,6.026450359718058,21.411479207882405,10,9,3,3,10,0
11.784819378257154,3.442406532517341,4.411860155276017,0.0,3,10,8,2,0,0
5.303670992781187,6.890473872262191,6.589138095288656,44.88886074667733,6,6,0,10,6,0
8.763434200364827,5.213138854705714,7.392621161099157,41.61880234830924,4,8,3,10,6,0
3.4740070132310916,0.0,8.203521132000443,38.865766233044546,5,7,8,5,2,0
5.780767771413644,8.107770586902001,1.4689684381182078,75.8263190284421,4,8,0,6,0,0
3.9210738432083145,12.750120647475626,3.7614760045559725,16.081866543640317,10,0,9,3,8,0
6.847296408774573,8.053158024104835,4.803465882612577,60.66258440055759,3,6,4,2,1,0
9.764043529129653,5.295746491587201,7.453373418018064,49.8996754987172,9,9,7,3,6,0
4.894913863024942,6.58605035021191,3.563324940011986,108.69117958524008,2,7,8,2,4,0
7.9211878185943485,8.187547673708735,6.601353280790861,60.181044575673525,2,3,5,5,8,0
7.893968469354116,3.6947029472452533,1.9408404633466505,32.03412416676772,9,7,0,5,3,0
7.65251282957332,7.590043171957474,4.772492257437273,28.90498048976635,6,2,7,8,0,0
6.092677768671477,4.957095499410668,4.233872564983806,0.0,4,5,8,10,5,0
6.220799254680457,5.2772884171156305,0.5473499921985967,59.80360343502054,8,4,1,9,7,0
6.744380746383927,6.524447084563375,11.254814896070139,44.71720634531491,6,8,2,6,10,0
6.872823153722041,7.5436420154713275,9.425547791086167,65.21113425235043,1,7,6,6,1,0
6.78190060154913,0.024560178083646633,8.015547101480118,10.449728082008129,2,7,6,10,6,0
7.90220300289946,5.9883262190292665,7.248972331315482,75.44194253707377,2,4,2,2,9,0
6.2724482439014,7.7076439197992705,11.561965429480045,68.44145392909236,3,9,6,10,9,0
7.484050656793768,9.210535719734002,11.376428111824925,56.146743923419415,6,2,2,9,6,0
7.047844128133589,0.39860470849589014,9.32730928287032,28.905463217356584,9,3,7,10,1,0
4.480856171039008,8.560661786475917,8.03943595270519,46.96488866953708,5,0,1,1,0,0
4.851718883870711,7.382851832993111,8.577905687257486,0.0,8,10,0,10,1,0
7.521248157100663,5.661420379900008,7.04275186979441,71.02464761563616,6,1,10,2,10,0
7.371953690693122,3.1911248113026747,8.460421982883869,89.50272493473682,5,3,5,5,2,0
8.448329306233788,2.4165435111248073,6.792227158991457,85.36307840672659,10,0,8,10,2,0
2.4770501022754905,4.6440514455163076,5.169097798388238,17.375357854356185,2,2,7,1,8,0
7.604706388644633,3.104663355425541,8.212904220931748,41.192368920554564,1,9,6,9,4,0
2.1575328211075,6.456667910268711,9.302584586267953,75.59889825909231,9,7,5,4,3,0
6.398853521384888,8.089687407284742,6.33881550816602,0.0,3,4,9,8,10,0
2.0348766477454037,3.22322936011549,5.840129817925996,53.38719079561626,7,6,6,10,4,0
8.926907447437577,5.241681840344248,8.368971066307495,42.48325323140515,10,6,4,8,6,0
4.95414305116278,3.0466981850126733,4.350306783061537,0.0,6,9,8,7,10,0
10.414236951232025,4.26456984904242,5.054877519877903,66.56563116873964,1,2,9,6,4,0
6.878361428732496,6.15731988113052,1.3230684702592344,37.177381103645274,1,8,5,3,5,0
8.01790968857866,6.171807779882267,8.182059716505268,28.39975680000395,9,9,6,3,7,0
7.532306141355871,4.558713366159095,7.889005492982751,15.632009320722943,8,0,2,3,6,0
9.735653731225032,4.546898678178859,9.379231529953241,42.84813130882272,6,1,8,1,4,0
6.446650901113401,0.11225515077133785,8.380775434103347,96.64265194998573,8,6,6,8,1,0
4.444912850964784,9.861672254464024,5.356902092422329,3.539157013226834,5,10,8,4,7,0
4.365412125080004,4.097749237990666,5.7070769433717565,53.702159728689495,6,3,9,8,3,0
4.849086357634712,3.591698316822109,3.8234626556541866,45.799011172858634,6,8,5,9,0,0
6.594770110899658,0.8990887131300243,4.7588853591239655,88.44329417128877,9,4,8,5,8,0
7.1311425605267855,0.0,1.990253774506341,79.67015299270386,4,6,6,3,9,0
6.032998947778614,5.961698569351874,8.65695614890268,36.374848758636624,9,1,8,7,1,0
6.7794222455112,4.573639185589011,2.6655440388920253,49.36328549714106,3,6,3,9,4,0
9.295344825073233,10.299293745953754,9.292637063890105,53.55724711180208,1,8,1,4,5,0
3.3161140863866745,4.907732914113196,9.459044729933709,92.57622545994215,3,2,7,1,2,0
5.507453024765079,4.075458671961421,7.003523079454483,40.592740265900595,8,1,4,2,4,0
8.347266608435243,4.103116392613423,7.722816441456566,57.78887919164087,2,10,0,7,9,0
4.5810904641391765,6.993119441337125,3.7324183764421957,48.639230819168034,6,8,10,5,3,0
8.367971175421891,6.961302796232152,13.314538460810812,22.33645991411118,1,6,2,4,6,0
5.735358872261825,7.103149147439694,8.102145874179001,62.345733762764,5,10,6,9,1,0
5.447125476558683,2.6099764909257632,5.795764296369813,35.95071878832704,5,2,10,4,5,0
6.151588192037042,7.1320538395708954,4.694163085420282,56.63394482794966,10,0,7,7,9,0
6.811016012716648,2.4136791343173307,4.580638278426397,25.967051761118718,10,0,1,9,2,0
5.885672482125164,6.744400172489143,8.435748354548092,0.0,4,7,10,5,6,0
9.235724226675845,4.826586902233115,5.757567486657972,42.080241753732025,4,5,9,1,6,0
5.851275485598208,5.784420480284056,7.496331003205577,28.814610702603794,3,3,8,10,8,0
8.65425037652971,1.3021952141486315,5.668466581288256,81.84945054555581,1,10,10,9,9,0
8.479528992107184,1.2826719033975382,8.071041433966633,39.43430202758507,7,3,1,5,7,0
6.137679790303644,3.386797113182859,11.071982256904423,5.011942703546836,3,6,1,5,7,0
9.014833071182586,2.5126914131426252,7.481277583242219,29.89169508490034,2,6,6,4,6,0
9.825054427604824,2.8793117587304824,10.249007452350376,23.876419553123217,4,10,7,7,4,0
7.686785285346217,5.101083744827574,8.428550884970957,13.41270415707762,1,0,2,2,1,0
8.102641245328986,7.351642618539517,7.153843651908788,40.693184337986175,7,6,8,3,1,0
3.3804191384834152,3.5829975436278563,8.06392034857854,32.72874975485231,1,6,0,4,6,1
7.5971013532791325,10.211692478457344,9.525985755614515,75.28756773800566,3,3,8,10,7,0
8.53773754332764,9.064001203623938,9.218847941833452,17.743508362677805,5,2,0,6,0,0
9.850655273881644,7.763864915174732,2.1743794156791374,30.41802669640184,1,5,2,9,8,0
5.744009175474101,5.429070194391539,9.01000663342817,22.140064981034392,10,2,9,5,7,0
6.936805758308305,6.4512602534404495,6.804395992619257,49.843406922869136,4,2,1,4,10,0
8.720523680046945,8.1796747634217,3.6576822460898497,77.12511230197629,5,8,9,2,8,0
5.309197862894965,5.3821288799981275,3.5365874426397763,31.63444341369076,5,2,4,7,1,0
7.700297588974087,1.935123426659104,4.205729899968057,49.72837373108477,6,10,4,4,0,0
1.284327113593024,7.730636641157399,6.445847136848332,77.24552242827639,4,9,0,5,1,0
7.63222413798359,6.730269966179005,10.814298588914633,26.399228357994442,1,3,10,1,6,0
